Title,Year,Rating,Vote Count,Language
The Shawshank Redemption,1994,8.7,29328,en
The Godfather,1972,8.685,22135,en
The Godfather Part II,1974,8.571,13380,en
Schindler's List,1993,8.566,16894,en
12 Angry Men,1957,8.5,9575,en
Spirited Away,2001,8.5,17693,ja
The Dark Knight,2008,8.5,34802,en
Dilwale Dulhania Le Jayenge,1995,8.5,4521,hi
The Green Mile,1999,8.5,18594,en
Parasite,2019,8.5,19778,ko
The Lord of the Rings: The Return of the King,2003,8.491,25720,en
Pulp Fiction,1994,8.487,29357,en
Your Name.,2016,8.48,12139,ja
"The Good, the Bad and the Ugly",1966,8.5,9277,it
Interstellar,2014,8.463,38361,en
Forrest Gump,1994,8.463,28916,en
GoodFellas,1990,8.454,13819,en
Seven Samurai,1954,8.451,4041,ja
Grave of the Fireflies,1988,8.4,6219,ja
Life Is Beautiful,1997,8.44,13659,it
Fight Club,1999,8.438,31071,en
Harakiri,1962,8.4,1132,ja
Cinema Paradiso,1988,8.43,4659,it
City of God,2002,8.427,7893,pt
The Lord of the Rings: The Fellowship of the Ring,2001,8.426,26667,en
Impossible Things,2021,8.425,418,es
Psycho,1960,8.4,10656,en
A Dog's Will,2000,8.42,1193,pt
One Flew Over the Cuckoo's Nest,1975,8.413,11067,en
The Lord of the Rings: The Two Towers,2002,8.411,23152,en
Gabriel's Inferno,2020,8.401,2438,en
Once Upon a Time in America,1984,8.396,5801,en
Spider-Man: Into the Spider-Verse,2018,8.4,16644,en
Hope,2013,8.4,808,ko
The Empire Strikes Back,1980,8.394,17868,en
Howl's Moving Castle,2004,8.4,10645,ja
A Silent Voice: The Movie,2016,8.386,4278,ja
The Pianist,2002,8.379,9788,en
Se7en,1995,8.378,22345,en
Whiplash,2014,8.375,16109,en
Lucy Shimmers and the Prince of Peace,2020,8.4,330,en
Inception,2010,8.371,38318,en
Gabriel's Inferno: Part II,2020,8.369,1534,en
Gabriel's Inferno: Part III,2020,8.359,1071,en
Radical,2023,8.356,482,es
High and Low,1963,8.4,1051,ja
Rear Window,1954,8.3,6911,en
The Silence of the Lambs,1991,8.347,17314,en
Spider-Man: Across the Spider-Verse,2023,8.3,8069,en
American History X,1998,8.33,12191,en
Princess Mononoke,1997,8.325,8624,ja
Back to the Future,1985,8.323,21127,en
The Legend of Hei,2019,8.3,423,zh
The Wild Robot,2024,8.318,5543,en
The Quintessential Quintuplets Movie,2022,8.319,425,ja
Ikiru,1952,8.3,1260,ja
Dou kyu sei – Classmates,2016,8.3,420,ja
Dead Poets Society,1989,8.301,12079,en
Léon: The Professional,1994,8.3,15596,fr
Perfect Blue,1998,8.297,2993,ja
A Brighter Summer Day,1991,8.3,363,zh
"Josee, the Tiger and the Fish",2020,8.291,552,ja
The Great Dictator,1940,8.3,3566,en
Violet Evergarden: The Movie,2020,8.287,471,ja
Sunset Boulevard,1950,8.3,2796,en
Dedicated to my ex,2019,8.3,513,es
Once Upon a Studio,2023,8.3,407,en
We All Loved Each Other So Much,1974,8.3,625,it
Modern Times,1936,8.282,3927,en
Once Upon a Time in the West,1968,8.3,4693,it
It's a Wonderful Life,1946,8.275,4660,en
Counterattack,2025,8.271,768,es
The Intouchables,2011,8.271,17990,fr
Apocalypse Now,1979,8.271,8752,en
The Forge,2024,8.27,309,en
Hotarubi no Mori e,2011,8.27,1182,ja
Neon Genesis Evangelion: The End of Evangelion,1997,8.266,1750,ja
Paths of Glory,1957,8.3,3139,en
City Lights,1931,8.259,2355,en
Given,2020,8.3,410,ja
The Lion King,1994,8.256,19181,en
Miracle in Cell No. 7,2019,8.3,4500,tr
Le Trou,1960,8.3,531,fr
The Legend of 1900,1998,8.247,2368,it
Oldboy,2003,8.245,9380,ko
Rascal Does Not Dream of a Dreaming Girl,2019,8.2,569,ja
I Want to Eat Your Pancreas,2018,8.242,1689,ja
Clouds,2020,8.24,1037,en
Life in a Year,2020,8.24,1943,en
Avengers: Endgame,2019,8.237,26983,en
The Matrix,1999,8.236,27058,en
Avengers: Infinity War,2018,8.235,31192,en
Klaus,2019,8.228,4415,en
Five Feet Apart,2019,8.226,5820,en
Come and See,1985,8.2,1705,ru
Out of the Clear Blue Sky,2019,8.225,364,es
Green Book,2018,8.225,12404,en
Taylor Swift: Reputation Stadium Tour,2018,8.224,415,en
Saving Private Ryan,1998,8.221,16684,en
Gladiator,2000,8.221,20266,en
Il Sorpasso,1962,8.22,814,it
"The Boy, the Mole, the Fox and the Horse",2022,8.217,672,en
Mommy,2014,8.2,2793,fr
Wolf Children,2012,8.2,2398,ja
Michael Jackson's Thriller,1983,8.2,726,en
Inglourious Basterds,2009,8.215,23464,en
Witness for the Prosecution,1957,8.214,1578,en
Justice League Dark: Apokolips War,2020,8.212,1524,en
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,8.211,4327,ja
Puss in Boots: The Last Wish,2022,8.2,8512,en
The Shining,1980,8.207,18379,en
The Prestige,2006,8.205,17001,en
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.204,890,ja
The Help,2011,8.204,8762,en
Woman in the Dunes,1964,8.2,497,ja
Star Wars,1977,8.204,21698,en
Wolfwalkers,2020,8.202,1310,en
Shutter Island,2010,8.202,25114,en
Coco,2017,8.201,20468,en
The Apartment,1960,8.2,2511,en
The Handmaiden,2016,8.2,4104,ko
KPop Demon Hunters,2025,8.195,2009,en
Doctor Who: The Day of the Doctor,2013,8.2,762,en
Hacksaw Ridge,2016,8.192,14449,en
Django Unchained,2012,8.185,27306,en
TAYLOR SWIFT | THE ERAS TOUR,2023,8.2,483,en
The Art of Racing in the Rain,2019,8.183,1608,en
A Clockwork Orange,1971,8.181,13471,en
My Mom Is a Character 3,2019,8.179,490,pt
Memento,2000,8.2,15708,en
Bicycle Thieves,1948,8.2,2555,it
Ultraman: Rising,2024,8.175,355,en
The Usual Suspects,1995,8.173,10999,en
Alien,1979,8.167,15792,en
Maquia: When the Promised Flower Blooms,2018,8.2,680,ja
